0.001430 0.002660 0.003285 10000
0.002164 0.004393 0.004923 15000
0.002988 0.005667 0.006907 20000
0.003842 0.008192 0.008829 25000
0.004622 0.009444 0.010669 30000
0.005795 0.010053 0.012726 35000
0.006437 0.011709 0.014585 40000
0.007393 0.013565 0.016905 45000
0.008412 0.015222 0.018730 50000
0.009413 0.016886 0.020770 55000
0.010022 0.017847 0.023324 60000
0.011165 0.019045 0.025222 65000
0.011782 0.021740 0.027416 70000
0.012657 0.022726 0.030340 75000
0.013876 0.024663 0.031354 80000
0.014584 0.025412 0.034248 85000
0.015469 0.027973 0.036535 90000
0.016154 0.028955 0.038415 95000
0.017203 0.030263 0.040681 100000
0.018078 0.032061 0.042938 105000
0.019092 0.034587 0.044894 110000
0.019889 0.035242 0.047086 115000
0.020652 0.037531 0.049490 120000
0.022688 0.039775 0.051850 125000
0.022920 0.040298 0.054035 130000
0.024082 0.042344 0.056226 135000
0.024609 0.045040 0.058746 140000
0.025783 0.045399 0.061243 145000
0.026499 0.047317 0.063704 150000
