287231 153614 0.002994 10000
447231 238614 0.004332 15000
614463 327230 0.006259 20000
784463 417230 0.007516 25000
954463 507230 0.009043 30000
1128927 599462 0.010735 35000
1308927 694462 0.012196 40000
1488927 789462 0.014027 45000
1668927 884462 0.015504 50000
