0.005151 0.003393 0.002702 0.084611 10000
0.002376 0.003897 0.004325 0.192673 15000
0.003373 0.005612 0.005786 0.339223 20000
0.004539 0.006745 0.007482 0.524462 25000
0.005215 0.008192 0.008960 0.751243 30000
0.006041 0.010013 0.011210 1.042393 35000
0.007427 0.011025 0.012498 1.349389 40000
0.008093 0.012438 0.014378 1.704967 45000
0.009323 0.014106 0.015876 2.112559 50000
0.009939 0.015970 0.017719 2.552138 55000
0.011085 0.017711 0.019666 3.047859 60000
0.011966 0.019349 0.022395 3.565745 65000
0.013214 0.021015 0.023548 4.165006 70000
0.014126 0.022340 0.025587 4.830801 75000
0.015232 0.023501 0.026785 5.394471 80000
0.015908 0.024899 0.028738 6.081217 85000
0.016972 0.026587 0.030715 6.854969 90000
0.018193 0.028142 0.032556 7.634756 95000
0.019520 0.029295 0.034377 8.442394 100000
