397335 134110 0.003072 10000
701735 236743 0.005213 15000
995561 335751 0.007436 20000
1292915 435916 0.009614 25000
1593798 537253 0.011572 30000
1899151 640079 0.013817 35000
2209953 744721 0.015964 40000
2524982 850773 0.018539 45000
2842444 957635 0.020754 50000
3161565 1065051 0.022971 55000
3482255 1172989 0.025111 60000
3803315 1281050 0.027687 65000
4129780 1390914 0.030174 70000
4459984 1502023 0.032043 75000
4792446 1613886 0.034342 80000
5125951 1726096 0.036696 85000
5461394 1838952 0.039668 90000
5797440 1952009 0.041761 95000
6134556 2065422 0.044158 100000
6472380 2179072 0.047101 105000
6810019 2292660 0.049262 110000
7149312 2406800 0.052192 115000
7488910 2521041 0.054870 120000
7829031 2635456 0.056714 125000
8168682 2749714 0.059208 130000
8513305 2865630 0.062864 135000
8860659 2982457 0.064863 140000
9210562 3100133 0.067106 145000
9561860 3218274 0.069431 150000
