167809 82313 0.001641 10000
292223 141734 0.002802 15000
422363 214018 0.003905 20000
538861 280113 0.005297 25000
704268 371156 0.006349 30000
797341 422550 0.007293 35000
975078 532791 0.008622 40000
1080526 567658 0.009622 45000
1200082 608914 0.010705 50000
1392992 749557 0.012084 55000
1537408 783484 0.013291 60000
1648322 901012 0.014563 65000
1763714 883367 0.015484 70000
1999618 1055321 0.017259 75000
2097038 1094849 0.018230 80000
2220778 1161646 0.019300 85000
2500184 1149276 0.020767 90000
2529714 1276953 0.021598 95000
2661038 1329032 0.022827 100000
2824545 1412648 0.024444 105000
3030607 1548041 0.025893 110000
3147162 1645126 0.026933 115000
3307810 1823798 0.028587 120000
3445070 1733600 0.029439 125000
3590160 1944089 0.030731 130000
3763411 1997670 0.032040 135000
4096911 1995086 0.034495 140000
4230324 2121815 0.035098 145000
4137453 2203011 0.035429 150000
