287231 153614 0.002658 10000
504677 269336 0.004707 15000
715398 381097 0.007110 20000
927542 493449 0.009009 25000
1139971 605919 0.011053 30000
1356921 720645 0.013272 35000
1580311 838591 0.015180 40000
1804989 957180 0.017264 45000
2029924 1075898 0.018932 50000
2254911 1194641 0.021387 55000
2479909 1313390 0.023389 60000
2704908 1432140 0.025371 65000
2938836 1555354 0.027470 70000
3175622 1679996 0.029906 75000
3412979 1804925 0.031885 80000
3650450 1929911 0.033710 85000
3887945 2054908 0.035766 90000
4125444 2179907 0.038080 95000
4362943 2304907 0.040047 100000
4600443 2429907 0.042257 105000
4837943 2554907 0.045019 110000
5075443 2679907 0.046580 115000
5312943 2804907 0.048677 120000
5550443 2929907 0.050658 125000
5787943 3054907 0.052516 130000
6033299 3183835 0.055448 135000
6282370 3314621 0.057671 140000
6532185 3445778 0.059656 145000
6782148 3577009 0.061775 150000
