0.009156 0.003077 10000
0.005725 0.005669 15000
0.009377 0.009482 20000
0.013960 0.014038 25000
0.020207 0.019828 30000
0.026860 0.025983 35000
0.032944 0.033897 40000
0.041629 0.043059 45000
0.051322 0.053499 50000
0.063838 0.064286 55000
0.071890 0.072625 60000
0.083337 0.084374 65000
0.096223 0.097118 70000
0.110023 0.112217 75000
0.129512 0.128615 80000
0.139923 0.142205 85000
0.155807 0.158045 90000
0.178523 0.181247 95000
0.201221 0.198219 100000
0.218758 0.220339 105000
0.236053 0.237465 110000
0.254535 0.261817 115000
0.276280 0.292868 120000
0.339078 0.317701 125000
0.360294 0.343668 130000
0.465484 0.430973 135000
0.427260 0.383652 140000
0.421499 0.431538 145000
0.456678 0.443895 150000
