397749 134248 0.003478 10000
702018 236837 0.005954 15000
995227 335640 0.008747 20000
1292848 435894 0.010900 25000
1592641 536867 0.013487 30000
1898173 639753 0.015948 35000
2209286 744499 0.018503 40000
2524630 850655 0.021854 45000
2842419 957627 0.024244 50000
3162058 1065215 0.026778 55000
3481498 1172737 0.029405 60000
3802869 1280902 0.031749 65000
4130188 1391050 0.034671 70000
4460698 1502262 0.037413 75000
4794090 1614434 0.040451 80000
5127852 1726729 0.043121 85000
5462920 1839460 0.046066 90000
5798472 1952353 0.048771 95000
6135193 2065635 0.051893 100000
6471808 2178882 0.055179 105000
6810120 2292694 0.057371 110000
7149141 2406742 0.060404 115000
7488530 2520914 0.063117 120000
7828835 2635390 0.066502 125000
8168911 2749791 0.070750 130000
8513390 2865659 0.072325 135000
8861666 2982793 0.074895 140000
9211172 3100336 0.078242 145000
9561917 3218293 0.080806 150000
