0.002626 0.002389 10000
0.003752 0.003611 15000
0.005086 0.004735 20000
0.006279 0.006008 25000
0.007782 0.007128 30000
0.008978 0.008454 35000
0.010154 0.009915 40000
0.011506 0.011047 45000
0.013049 0.011940 50000
0.014142 0.013694 55000
0.016836 0.014931 60000
0.018116 0.016312 65000
0.018455 0.021975 70000
0.020040 0.020161 75000
0.027185 0.027846 80000
0.022691 0.021447 85000
0.024082 0.022617 90000
0.025823 0.024053 95000
0.026639 0.027629 100000
0.030111 0.026680 105000
0.029561 0.027986 110000
0.033087 0.030126 115000
0.034621 0.031867 120000
0.035571 0.032863 125000
0.035413 0.034424 130000
0.037049 0.036718 135000
0.039501 0.038423 140000
0.039360 0.037987 145000
0.041103 0.041729 150000
