40046557 40021343 0.195804 10000
90073920 90033361 0.439642 15000
160097290 160043382 0.778733 20000
250126337 250060167 1.222005 25000
360150303 360071844 1.751865 30000
490172100 490083199 2.397263 35000
640206260 640097554 3.129185 40000
810231918 810107258 3.954277 45000
1000271430 1000132788 4.879954 50000
1210281455 1210127924 5.905524 55000
1440316785 1440149649 7.087347 60000
1690337608 1690159718 8.257330 65000
1960371192 1960183108 9.913808 70000
2250421928 2250200153 10.986641 75000
2560446253 2560220747 12.634098 80000
2890473942 2890241297 14.118855 85000
3240506999 3240254044 15.811367 90000
3610514615 3610245949 17.623018 95000
4000567590 4000265313 19.508546 100000
