0.006699 0.002671 10000
0.004959 0.004167 15000
0.008458 0.005289 20000
0.008478 0.006897 25000
0.011666 0.008915 30000
0.012026 0.009611 35000
0.013604 0.010798 40000
0.016569 0.012768 45000
0.017576 0.015200 50000
0.019269 0.017735 55000
0.021096 0.019066 60000
0.022796 0.020577 65000
0.026554 0.022861 70000
0.027394 0.023831 75000
0.030497 0.025206 80000
0.029957 0.026737 85000
0.032461 0.027736 90000
0.038891 0.031674 95000
0.043473 0.032605 100000
0.044499 0.038501 105000
0.050460 0.041508 110000
0.049652 0.038265 115000
0.053558 0.047657 120000
0.050533 0.041916 125000
0.052973 0.046594 130000
0.056953 0.045094 135000
0.059009 0.048373 140000
0.059511 0.051052 145000
0.062848 0.056008 150000
